Step,2024-08-24 22-00-58,2024-08-28 23-42-56,2024-08-29 13-19-19
0,7.21833515167236,7.93295192718506,8.102294921875
10,7.12022829055786,7.85839653015137,8.03552341461182
20,6.93044948577881,7.46848392486572,7.69219779968262
30,6.72438097000122,6.22911500930786,6.57102680206299
40,6.50202322006226,2.94777131080627,3.46708297729492
50,6.26337575912476,-0.442957758903503,-0.519812047481537
60,6.00843858718872,4.07794380187988,3.90337491035461
70,5.73721218109131,6.68144941329956,6.73596096038818
80,5.44969606399536,7.61660432815552,7.74425554275513
90,5.14589071273804,7.89780235290527,8.04975509643555
100,4.82579565048218,7.92749357223511,8.110182762146
110,4.48941087722778,7.75130319595337,8.02425765991211
120,4.13673686981201,7.10602712631226,7.65201473236084
130,3.76777338981628,5.1902322769165,6.44735145568848
140,3.38252019882202,0.657993197441101,3.16090655326843
150,2.9809775352478,1.25738620758057,-0.437449604272842
160,2.56314539909363,5.4630880355835,4.17210149765015
170,2.1290237903595,7.20112800598145,6.84027290344238
180,1.67861258983612,7.77996397018433,7.77753639221191
190,1.21191191673279,7.93207168579102,8.05870914459229
200,0.7289217710495,7.88550138473511,8.10925960540772
210,0.229642018675804,7.56834840774536,8.0119218826294
220,-0.285927206277847,6.5304741859436,7.60863161087036
230,-0.817785978317261,3.68123984336853,6.31510734558106
240,-1.36593425273895,-0.539500951766968,2.8400661945343
250,-1.53132545948029,3.39953422546387,-0.319318234920502
260,-0.991606771945953,6.40847539901733,4.42720603942871
270,-0.454529851675034,7.52707242965698,6.93758535385132
280,0.0662575960159302,7.87440490722656,7.80831527709961
290,0.570755481719971,7.93464994430542,8.06680393218994
300,1.05896389484406,7.80017566680908,8.10778999328613
310,1.53088283538818,7.26748704910278,7.99844264984131
320,1.98651218414307,5.64331293106079,7.56181526184082
330,2.42585206031799,1.6144859790802,6.17383098602295
340,2.84890222549438,0.363247185945511,2.50444006919861
350,3.2556631565094,4.98348236083984,-0.162695616483688
360,3.64613437652588,7.02683877944946,4.66901683807373
370,4.0203161239624,7.7264084815979,7.02830076217651
380,4.37820863723755,7.92281150817871,7.83676481246948
390,4.71981143951416,7.90617990493774,8.07409000396729
400,5.04512453079224,7.65066576004028,8.10576343536377
410,5.35414838790894,6.78504514694214,7.98373889923096
420,5.6468825340271,4.32978534698486,7.51131916046143
430,5.92332696914673,-0.313518404960632,6.02305221557617
440,6.18348217010498,2.63609623908997,2.15396618843079
450,6.4273476600647,6.08634471893311,0.0754456222057343
460,6.65492391586304,7.41868734359741,4.89789581298828
470,6.86621046066284,7.84417915344238,7.11280679702759
480,7.06120777130127,7.93720531463623,7.86304616928101
490,7.23991537094116,7.83951950073242,8.08061122894287
